,edit_count,sentiment,neg_sentiment
2014-01-12,8.766666666666667,-0.11329680250609586,0.4247613546815675
2014-01-13,5.133333333333334,-0.16180478472761256,0.4520340819542947
2014-01-14,3.6666666666666665,-0.1452988099287111,0.44328703703703703
2014-01-15,3.1333333333333333,-0.14636031426292248,0.4287037037037037
2014-01-16,3.1333333333333333,-0.1463350001702864,0.4287037037037037
2014-01-17,3.3333333333333335,-0.16877684374808005,0.442989417989418
2014-01-18,3.1,-0.1746868001326682,0.4448412698412698
2014-01-19,3.033333333333333,-0.20840705824022038,0.4638156288156289
2014-01-20,3.033333333333333,-0.17413946879033787,0.4471489621489621
2014-01-21,3.966666666666667,-0.14135802976414108,0.43048229548229544
2014-01-22,4.3,-0.13583248567704898,0.4282600732600733
2014-01-23,4.2,-0.13702438187722904,0.42826007326007326
2014-01-24,4.5,-0.10633683123977193,0.4115934065934066
2014-01-25,4.8,-0.14075449409211221,0.431037851037851
2014-01-26,4.866666666666666,-0.11341046097004952,0.41437118437118436
2014-01-27,5.2,-0.1002776499189009,0.40753357753357755
2014-01-28,5.333333333333333,-0.10111660565903483,0.40753357753357755
2014-01-29,5.3,-0.09037342332913036,0.40197802197802196
2014-01-30,6.433333333333334,-0.09930201136185282,0.42256625727213964
2014-01-31,6.833333333333333,-0.09932422501954986,0.4225662572721396
2014-02-01,6.9,-0.10340417189512206,0.43923292393880625
2014-02-02,7.166666666666667,-0.11959180621418906,0.4642329239388063
2014-02-03,7.266666666666667,-0.10539445666584922,0.47534403504991735
2014-02-04,7.366666666666666,-0.14262688803785595,0.49534403504991736
2014-02-05,7.5,-0.13917210795594806,0.512010701716584
2014-02-06,7.533333333333333,-0.14056520393934732,0.5175662572721396
2014-02-07,7.433333333333334,-0.12042724819428609,0.5092329239388064
2014-02-08,7.5,-0.12045205862767384,0.525899590605473
2014-02-09,8.033333333333333,-0.1114494180050404,0.5184921831980656
2014-02-10,8.066666666666666,-0.14456137372721345,0.5518255165313989
2014-02-11,8.3,-0.1539073014513453,0.5536773683832508
2014-02-12,8.6,-0.11286966167447962,0.5303440350499175
2014-02-13,8.566666666666666,-0.09597498472423684,0.5192329239388063
2014-02-14,9.033333333333333,-0.10680849292624467,0.5406614953673777
2014-02-15,9.1,-0.0680485686204348,0.5184392731451555
2014-02-16,9.733333333333333,-0.060529024947342185,0.5156920203979027
2014-02-17,9.966666666666667,-0.0763055185408407,0.5249512796571619
2014-02-18,9.733333333333333,-0.0603179313364944,0.515976920682803
2014-02-19,9.533333333333333,-0.0531042457577243,0.5104213651272475
2014-02-20,8.8,-0.04880926941401308,0.5062546984605808
2014-02-21,8.566666666666666,-0.02536271228955731,0.4943102540161364
2014-02-22,8.533333333333333,0.013717170742817603,0.4720880317939142
2014-02-23,8.166666666666666,0.0045228798399381,0.4776435873494697
2014-02-24,7.8,0.05557115384704658,0.44708803179391415
2014-02-25,7.666666666666667,0.028568627524045986,0.44708803179391415
2014-02-26,7.5,0.02443398820969405,0.44837008307596543
2014-02-27,7.266666666666667,0.05520952033612074,0.43170341640929877
2014-02-28,7.1,0.04444893288227858,0.43725897196485436
2014-03-01,6.0,0.07831489630155704,0.4166707366707367
2014-03-02,5.6,0.0745502868057583,0.4166707366707367
2014-03-03,5.666666666666667,0.08135908233734908,0.4166707366707367
2014-03-04,5.6,0.08450318653662611,0.41389295889295885
2014-03-05,5.633333333333334,0.06970422446012109,0.41944851444851444
2014-03-06,5.466666666666667,0.07791288434743492,0.3994485144485144
2014-03-07,5.366666666666666,0.09939547965208301,0.38278184778184776
2014-03-08,5.433333333333334,0.09982941351943157,0.3805596255596255
2014-03-09,5.433333333333334,0.03427753451082053,0.41389295889295885
2014-03-10,5.4,0.05923972033076428,0.3972262922262922
2014-03-11,4.9,0.07021713711985449,0.39352258852258853
2014-03-12,4.933333333333334,0.07031687257854638,0.39352258852258853
2014-03-13,4.933333333333334,0.058560225724640244,0.4009299959299959
2014-03-14,4.6,0.05001858329719579,0.39092999592999594
2014-03-15,4.6,-0.002593284289575859,0.42426332926332927
2014-03-16,4.2,0.005642933634950901,0.41950142450142447
2014-03-17,4.3,-0.020348334986599763,0.4361680911680912
2014-03-18,3.5,-0.06301205034609195,0.45796296296296296
2014-03-19,3.4,-0.04800268740565688,0.4487037037037037
2014-03-20,3.2666666666666666,-0.0806528134257705,0.4653703703703704
2014-03-21,3.2333333333333334,-0.1061472537561699,0.4798148148148148
2014-03-22,2.966666666666667,-0.11107069750074985,0.4673148148148148
2014-03-23,2.7333333333333334,-0.15202272037113154,0.4881481481481481
2014-03-24,2.7666666666666666,-0.17279412348513248,0.49925925925925924
2014-03-25,2.6666666666666665,-0.1459290206377153,0.4825925925925926
2014-03-26,2.8333333333333335,-0.17442933486015708,0.5048148148148148
2014-03-27,2.9,-0.17434652612717064,0.5214814814814814
2014-03-28,2.7666666666666666,-0.20147824129572622,0.5381481481481482
2014-03-29,2.7333333333333334,-0.2324789607635251,0.5381481481481482
2014-03-30,2.8,-0.17161695534432375,0.5048148148148148
2014-03-31,2.8666666666666667,-0.2295124356062324,0.5381481481481482
2014-04-01,2.8,-0.225639664541792,0.5214814814814814
2014-04-02,2.6666666666666665,-0.22836851319781057,0.5048148148148148
2014-04-03,2.466666666666667,-0.21532498307802062,0.4825925925925926
2014-04-04,2.3666666666666667,-0.18547656345146676,0.4659259259259259
2014-04-05,2.4,-0.2185885191736398,0.49925925925925924
2014-04-06,2.533333333333333,-0.2753641169049122,0.5325925925925926
